PARTIDOS,LOCAL,GOLES_LOCAL,VISITANTE,GOLES_VISITANTE,GANADO,EMPATE,PERDIDO
Alemania,Alemania,5,AZERBAIYÁN,1,G,,
Alemania,IRLANDA DEL NORTE,1,Alemania,3,G,,
Alemania,Alemania,6,NORUEGA,0,G,,
Alemania,REPÚBLICA CHECA,1,Alemania,2,G,,
Alemania,Alemania,7,SAN MARINO,0,G,,
Alemania,AZERBAIYÁN,1,Alemania,4,G,,
Alemania,SAN MARINO,0,Alemania,8,G,,
Alemania,Alemania,2,IRALANDA DEL NORTE,0,G,,
Alemania,Alemania,3,REPÚBLICA CHECA,0,G,,
Alemania,NORUEGA,0,Alemania,3,G,,
Arabia Saudita,Arabia Saudita,1,Japón,0,G,,
Arabia Saudita,EMIRATOS ÁRABES UNIDOS,2,Arabia Saudita,1,,,P
Arabia Saudita,Australia,3,Arabia Saudita,2,,,P
Arabia Saudita,Arabia Saudita,1,IRAK,0,G,,
Arabia Saudita,TAILANDIA,0,Arabia Saudita,3,G,,
Arabia Saudita,Japón,2,Arabia Saudita,1,,,P
Arabia Saudita,Arabia Saudita,3,EMIRATOS ÁRABES UNIDOS,0,G,,
Arabia Saudita,Arabia Saudita,2,Australia,2,,E,
Arabia Saudita,IRAK,1,Arabia Saudita,2,G,,
Arabia Saudita,Arabia Saudita,1,TAILANDIA,0,G,,
Arabia Saudita,EMIRATOS ÁRABES UNIDOS,1,Arabia Saudita,1,,E,
Arabia Saudita,Arabia Saudita,2,MALASIA,0,G,,
Arabia Saudita,TIMOR ORIENTAL,0,Arabia Saudita,10,G,,
Arabia Saudita,PALESTINA,0,Arabia Saudita,0,,E,
Arabia Saudita,Arabia Saudita,2,EMIRATOS ÁRABES UNIDOS,1,G,,
Arabia Saudita,MALASIA,0,Arabia Saudita,3,G,,
Arabia Saudita,Arabia Saudita,7,TIMOR ORIENTAL,7,,E,
Arabia Saudita,Arabia Saudita,3,PALESTINA,2,G,,
Argentina,ECUADOR,1,Argentina,3,G,,
Argentina,Argentina,0,Perú,0,,E,
Argentina,Argentina,1,VENEZUELA,1,,E,
Argentina,Uruguay,0,Argentina,0,,E,
Argentina,BOLIVIA,2,Argentina,0,,,P
Argentina,Argentina,1,CHILE,0,G,,
Argentina,Argentina,3,Colombia,0,G,,
