Equipo,may-14,jun-14,jul-14,ago-14,sep-14,oct-14,nov-14,dic-14,ene-15,feb-15,mar-15,abr-15,may-15,jun-15,jul-15,ago-15,sep-15,sep-15,nov-15,dic-15,ene-16,feb-16,mar-16,abr-16,may-16,jun-16,jul-16,ago-16,sep-16,oct-16,nov-16,dic-16,ene-17,feb-17,mar-17,abr-17,may-17,may-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18
Rusia,18,19,23,23,23,30,31,31,31,33,33,32,27,26,28,31,32,26,23,24,24,23,23,27,27,29,38,38,38,53,55,56,56,61,60,61,61,63,62,62,64,65,65,64,62,61,63,66,66
Egipto,24,36,36,38,61,38,60,60,60,57,58,51,51,55,55,52,49,51,57,57,58,55,53,44,44,45,43,43,53,46,36,36,35,23,20,19,19,20,24,25,30,30,31,31,30,43,44,46,46
Arabia Saudita,75,90,78,83,82,97,106,102,102,98,99,95,95,98,92,93,93,88,80,80,75,55,60,60,60,65,65,61,52,54,56,54,48,56,57,52,52,53,61,59,53,63,63,63,65,64,69,70,67
Uruguay,6,7,6,6,7,8,10,10,10,9,9,8,8,8,13,18,18,20,12,11,11,11,11,9,9,9,12,12,9,9,9,9,9,9,9,15,15,16,17,17,16,17,21,21,22,22,22,17,17
Portugal,3,4,11,11,11,9,7,7,7,7,7,7,7,7,7,6,6,4,4,7,7,7,7,8,8,8,6,6,7,8,8,8,8,8,8,8,8,8,4,6,3,3,3,3,3,3,3,4,4
Marruecos,76,77,79,81,87,88,82,81,82,88,89,91,90,92,84,82,85,80,79,75,76,80,81,64,64,62,54,53,58,60,57,57,57,48,49,53,53,56,60,60,56,48,40,40,39,42,42,42,42
España,1,1,8,7,8,10,9,9,9,10,11,10,10,10,12,11,11,6,6,3,3,3,3,6,6,6,8,8,11,10,10,10,10,10,10,10,10,10,11,11,11,8,6,6,6,6,6,8,8
Irán,37,43,49,48,44,51,56,51,51,41,42,40,40,41,38,41,40,39,43,45,43,44,44,42,42,39,39,39,37,27,30,29,29,32,33,28,28,30,23,24,25,34,32,32,34,33,33,36,36
Francia,16,17,10,10,9,7,7,7,7,8,8,11,11,9,22,23,24,22,24,25,25,24,24,21,21,17,7,7,8,7,7,7,7,6,6,6,6,6,9,10,8,7,9,9,9,9,9,7,7
Perú,42,45,59,52,47,54,52,53,53,59,59,64,63,61,46,49,48,50,57,47,47,43,42,46,46,48,34,33,25,23,19,19,19,18,18,17,17,15,14,15,12,10,11,11,11,11,11,11,11
Australia,59,62,76,79,84,94,102,100,100,63,65,63,64,63,59,61,61,58,60,57,59,68,67,50,50,59,59,57,45,40,48,47,44,54,55,50,50,48,45,45,50,43,39,38,36,36,37,40,40
Dinamarca,23,23,26,26,27,32,30,30,30,28,28,28,29,29,24,25,22,28,35,42,42,40,40,41,41,38,44,44,46,50,46,46,47,49,48,51,51,51,47,46,26,19,12,12,12,12,12,12,12
Argentina,7,5,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,4,4,4,4,4,5,5
Croacia,20,18,17,16,19,14,19,19,19,19,19,17,17,18,14,13,14,16,19,18,18,18,18,23,23,27,15,15,14,16,14,14,14,16,16,18,18,18,15,16,18,18,17,17,15,15,15,18,18
Islandia,58,52,47,46,34,28,33,33,33,37,35,38,38,37,23,24,23,23,31,36,36,38,38,35,35,34,22,23,27,21,21,21,21,20,23,21,21,22,19,20,22,21,22,22,20,18,18,22,22
Nigeria,44,44,34,33,37,42,42,43,43,42,41,45,45,43,57,53,53,52,59,66,66,63,62,67,67,61,70,67,64,60,50,51,50,41,41,40,40,38,39,38,44,41,50,51,51,52,52,47,47
Brasil,4,3,7,7,6,6,6,6,6,6,6,5,5,5,6,5,5,7,8,6,6,6,6,7,7,7,9,9,4,3,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2
Costa Rica,34,28,16,15,15,16,16,16,16,13,13,15,15,14,41,38,39,42,40,37,37,31,33,25,25,23,27,21,18,18,17,17,17,19,19,20,20,19,26,21,21,22,26,26,27,25,26,25,25
Suiza,8,6,9,9,10,12,12,12,12,11,12,9,9,11,18,17,17,12,11,12,12,12,12,14,14,15,18,18,16,14,11,11,11,11,11,9,9,9,5,4,7,11,8,8,8,8,8,6,6
Serbia,30,30,31,31,34,46,46,38,38,39,40,44,44,45,43,66,66,63,49,56,55,51,50,55,56,54,47,47,50,43,44,44,45,51,52,49,49,50,42,42,32,38,37,36,37,34,34,35,35
Alemania,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,4,4,4,4,5,5,4,4,4,3,2,3,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1
Suecia,25,32,29,29,32,39,43,44,44,44,45,39,39,39,33,37,36,45,45,35,34,35,34,36,36,35,40,40,41,39,41,41,41,44,45,34,34,34,18,19,23,25,18,18,18,19,19,23,23
México,19,20,18,17,16,17,20,20,20,21,21,18,22,23,40,26,26,27,24,22,23,22,22,16,16,16,14,14,15,17,18,18,18,17,17,16,16,17,16,14,14,16,16,16,17,17,17,15,15
Corea del Sur,55,57,56,57,63,66,69,69,69,54,56,57,57,58,52,54,57,53,48,51,51,53,57,56,54,50,48,48,47,44,37,37,37,39,40,43,43,43,51,49,51,62,59,60,59,58,59,61,61
Bélgica,12,11,5,5,5,4,4,4,4,4,4,3,3,2,3,2,2,3,1,1,1,1,1,2,2,2,2,2,2,4,5,5,5,5,5,7,7,7,10,9,5,5,5,5,5,5,5,3,3
Túnez,49,48,42,42,31,31,22,22,22,26,25,30,31,29,32,34,33,36,41,40,40,48,47,47,47,47,45,45,42,38,34,35,36,36,37,42,42,41,34,34,31,28,27,27,23,23,23,14,14
Panamá,35,31,33,63,55,56,56,57,55,61,61,53,53,54,62,65,59,65,65,64,65,60,55,52,52,56,51,69,62,63,58,58,58,53,53,57,57,59,52,61,60,49,56,55,53,53,53,55,55
Inglaterra,11,10,20,20,18,20,13,13,13,15,17,14,14,15,9,8,10,10,9,9,9,9,9,10,10,11,13,13,12,12,13,13,13,13,14,14,14,13,13,13,15,12,15,15,16,16,16,13,13
Polonia,72,69,61,61,70,44,40,41,41,40,34,35,35,32,30,33,34,43,38,34,35,34,31,27,27,27,16,16,17,15,15,15,15,14,12,11,11,10,6,5,6,6,7,7,7,7,6,10,10
Colombia,5,8,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,5,7,8,8,8,8,4,4,3,3,3,4,5,6,6,6,7,7,5,5,5,8,8,10,13,13,13,13,13,13,16,16
Senegal,63,74,62,59,36,41,35,35,35,36,36,36,36,36,39,39,38,38,39,44,45,45,48,43,43,41,41,41,39,32,33,33,33,31,28,30,30,27,27,31,33,32,23,23,24,27,27,28,28
